MLSNumber,Category,Status,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,YearBuilt,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,AdditionalBankOwned,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
MDHR2038784,RES,Closed,12,12,1/8/25,1/29/25 0:00,3/1/25,2/28/25,"$525,000 ","$525,000 ","$525,000 ",4834,,Seven Trails,,Aberdeen,MD,21001,HARFORDMD,SEVEN TRAILS,sarah cruikshank,3298706,"Streett Hopkins Real Estate, LLC",HHC1,(410) 879-7466,Twania Greene,3011013,American Homes Realty Group,AHRG1,(800) 913-8384,FHA,StandardSale,StandardSale,StandardSale,3832,2024,0.18,E,FeeSimple,No,No,Yes,Annually,200,Annually,2003,22,3387,Excellent,4,3,1,Two,"Colonial,Traditional","Lower1,Main,Upper1",,Yes,2,Yes,UpprFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,2417,970,Excellent,,
MDHR2038904,RES,Closed,23,116,1/11/25,1/28/25 0:00,3/4/25,2/21/25,"$374,990 ","$364,500 ","$364,500 ",327,,Roberts,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,Andrew Johns III,3027331,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,JoAnn N Brothers,3054987,Coldwell Banker Realty,CBRB42,(410) 515-2000,Conventional,StandardSale,StandardSale,StandardSale,2995,2024,0.33,,FeeSimple,No,No,No,,,,1954,71,1361,VeryGood,3,2,0,Two,RaisedRanch,"Lower1,Main",,Yes,1,Yes,"BsmtLaundry,DryerInUnit,HasLaundry,WasherInUnit",,,Yes,No,No,StandardSale,BRIGHT,1361,0,VeryGood,,
MDHR2038874,RES,Closed,4,4,1/9/25,1/13/25 0:00,2/14/25,2/14/25,"$199,000 ","$199,000 ","$202,000 ",291,,Center Deen,,Aberdeen,MD,21001,HARFORDMD,NORTH DEEN,Andrew Garrett Karas,3332927,Compass,COMPS17,(240) 219-2422,Curtis M. Washington,3219420,ExecuHome Realty,EXER7,(443) 384-4000,Conventional,StandardSale,StandardSale,StandardSale,2497,2024,0.06,TH,FeeSimple,No,No,Yes,Annually,240,Annually,2005,20,1120,,3,1,1,Two,Other,"Main,Upper1",,Yes,,No,,,,Yes,No,No,StandardSale,BRIGHT,1120,0,,,
MDHR2036780,RES,Closed,9,9,12/7/23,1/17/25 0:00,2/18/25,2/18/25,"$360,000 ","$360,000 ","$365,000 ",4743,,Witchhazel,,Aberdeen,MD,21001,HARFORDMD,HOLLYWOODS POINT,Jeffrey Hawk,3358414,Homeowners Real Estate,HRES1,(410) 967-5995,Alita Credell,143720,ExecuHome Realty,EXER1,(443) 632-3000,FHA,StandardSale,StandardSale,StandardSale,691,2024,0.04,TH,FeeSimple,No,No,Yes,Monthly,85,Monthly,2024,1,1892,Excellent,4,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,No,None,,,Yes,No,Yes,StandardSale,BRIGHT,1592,300,Excellent,,
MDHR2038722,RES,Closed,12,12,1/3/25,1/27/25 0:00,2/14/25,2/14/25,"$415,000 ","$415,000 ","$430,000 ",227,,Ferndale,,Aberdeen,MD,21001,HARFORDMD,NORTHWOOD,Mary M Jones,52138,Berkshire Hathaway HomeServices PenFed Realty,PFED11,(410) 515-5300,Sandra L Hopkins,87905,"American Premier Realty, LLC",KWAM1,(443) 512-0090,Cash,StandardSale,StandardSale,StandardSale,3696,2024,0.57,R,FeeSimple,No,No,No,,,,1958,67,2078,Excellent,3,2,,Two,Rancher,Main,,Yes,,Yes,"BsmtLaundry,WasherInUnit",,,Yes,No,No,StandardSale,BRIGHT,1678,400,Excellent,,
MDHR2038410,RES,Closed,5,5,12/15/24,1/14/25 0:00,2/5/25,2/5/25,"$165,000 ","$165,000 ","$167,500 ",332,,Center Deen,,Aberdeen,MD,21001,HARFORDMD,NORTH DEEN,Bob Kimball,25228,Redfin Corp,REFC4,(410) 202-8454,Ernesto Suarez Alvarez,3322457,"Smart Realty, LLC",CMAR1,(301) 445-1395,Cash,StandardSale,StandardSale,StandardSale,2058,2024,0.13,TH,FeeSimple,No,No,Yes,Annually,240,Annually,1964,61,1080,,3,1,,Two,Colonial,Upper1,,No,,No,,,,Yes,No,No,StandardSale,BRIGHT,1080,0,,,
MDHR2038700,RES,Closed,40,192,1/3/25,2/11/25 0:00,3/16/25,3/14/25,"$439,000 ","$439,000 ","$445,000 ",809,,Gilbert,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Jill Ingram,3107796,Cummings & Co Realtors,CCRL8,(410) 823-0033,Wilmer Bucarelo,3053164,Douglas Realty,DOGR6,(866) 987-3937,FHA,StandardSale,StandardSale,StandardSale,2937,2024,0.52,R,FeeSimple,No,No,No,,,,1967,58,1914,,6,4,1,Two,Rancher,"Lower1,Main",,Yes,2,Yes,MainFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,1414,500,,,
MDHR2038580,RES,Closed,17,17,12/24/24,2/10/25 0:00,2/21/25,2/21/25,"$305,000 ","$305,000 ","$290,000 ",148,,Osborne,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,Stacie Miller,3091302,Berkshire Hathaway HomeServices PenFed Realty,PFED46,(443) 627-2900,Jonathan Phillip Jones,3271692,Coldwell Banker Realty,CBRB42,(410) 515-2000,VA,StandardSale,StandardSale,StandardSale,2613,2024,0.19,R,FeeSimple,No,No,No,,,,1917,108,1344,,4,2,1,Two,Colonial,"Lower1,Main,Upper1",,Yes,1,No,"BsmtLaundry,Hookup",,,Yes,No,No,StandardSale,BRIGHT,1344,0,,,0
MDHR2038648,RES,Closed,33,33,12/30/24,2/9/25 0:00,2/28/25,2/27/25,"$289,900 ","$268,900 ","$268,900 ",751,,Battle,,Aberdeen,MD,21001,HARFORDMD,LIVEZEY PARK,Amber M Bertholdt,150534,HSA By The Bay,HSAB1,(443) 250-4707,Misty J Ball,3008071,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE039,(410) 697-8100,FHA,StandardSale,StandardSale,StandardSale,2068,2024,0.23,,FeeSimple,No,No,No,,,,1935,90,942,Excellent,3,1,,One,Rancher,Main,,No,,No,Hookup,,,Yes,No,No,StandardSale,BRIGHT,942,0,Excellent,,
MDHR2038624,RES,Closed,11,11,12/23/24,1/25/25 0:00,2/21/25,2/21/25,"$440,000 ","$440,000 ","$440,000 ",703,,Courtney,,Aberdeen,MD,21001,HARFORDMD,MAXA WOODS,David Marc Niedzialkowski,3317599,Redfin Corp,REFC4,(410) 202-8454,Danielle Y Byrd,3058594,Berkshire Hathaway HomeServices PenFed Realty,PFED12,(410) 828-4700,FHA,StandardSale,StandardSale,StandardSale,4243,2024,0.38,R,FeeSimple,No,No,No,,,,1992,33,2610,,3,2,1,Three,Colonial,"Main,Upper1",,Yes,1,No,,,,Yes,No,No,StandardSale,BRIGHT,1760,850,,,
MDHR2038598,RES,Closed,4,4,12/19/24,1/6/25 0:00,1/27/25,1/27/25,"$259,900 ","$259,900 ","$280,000 ",650,,Burkley,,Aberdeen,MD,21001,HARFORDMD,BURKLEY MANOR,Andrew Garrett Karas,3332927,Compass,COMPS17,(240) 219-2422,Ronald Strauss,3021962,Redfin Corp,REFC4,(410) 202-8454,Conventional,StandardSale,StandardSale,StandardSale,3845,2024,0.36,R,FeeSimple,No,No,No,,,,1955,70,2256,,3,2,,One,Rancher,"Lower1,Main",,Yes,,Yes,,,,Yes,No,No,StandardSale,BRIGHT,1656,600,,,
MDHR2038550,RES,Closed,20,20,12/26/24,1/29/25 0:00,3/4/25,2/27/25,"$315,000 ","$315,000 ","$305,000 ",709,,Nottingham,,Aberdeen,MD,21001,HARFORDMD,BREA MAR MANOR,Michael J Schiff,108464,"EXP Realty, LLC",EXXP11,(888) 860-7369,Lee R. Tessier,132177,"EXP Realty, LLC",EXPB1,(410) 638-9555,Conventional,StandardSale,StandardSale,StandardSale,2831.98,2015,0.18,,FeeSimple,No,No,No,,,,1971,54,1500,,3,1,1,One,Traditional,Main,,No,,No,"HasLaundry,MainFlrLndry",,,Yes,No,No,StandardSale,BRIGHT,1500,,,,
MDHR2038512,RES,Closed,21,21,12/21/24,1/15/25 0:00,2/3/25,1/31/25,"$255,000 ","$255,000 ","$255,000 ",759,,Custis,,Aberdeen,MD,21001,HARFORDMD,BRENTWOOD SQUARE,John M Liberto,3097818,VYBE Realty,VYBE1,(410) 220-4648,Amy Kalb,3299329,"Revol Real Estate, LLC",REVOL1,(240) 356-1044,Conventional,StandardSale,StandardSale,StandardSale,2222,2024,0.06,TH,FeeSimple,No,No,No,,,,1984,41,1400,,3,1,,Three,Traditional,Upper1,,Yes,,No,,,,Yes,No,No,StandardSale,BRIGHT,1120,280,,,
MDHR2038394,RES,Closed,5,5,12/16/24,12/28/24 0:00,1/15/25,1/15/25,"$175,000 ","$175,000 ","$235,000 ",711,,Shirley,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Joseph Norman,3087896,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,Robert J Chew,91028,Berkshire Hathaway HomeServices PenFed Realty,PFED59,(410) 465-4440,Conventional,StandardSale,StandardSale,StandardSale,2750,2024,0.22,R,FeeSimple,No,No,No,,,,1959,66,1612,Average,3,1,0,Two,RaisedRanch,"Lower1,Main",,Yes,,No,"BsmtLaundry,DryerInUnit,HasLaundry,WasherInUnit",,,Yes,No,No,StandardSale,BRIGHT,1075,537,Average,,
MDHR2038524,RES,Closed,11,11,12/22/24,12/31/24 0:00,1/16/25,1/15/25,"$300,000 ","$300,000 ","$300,000 ",536,,Pleasantwind,,Aberdeen,MD,21001,HARFORDMD,WINDEMERE ESTATES,Linda L Welsh,25296,Integrity Real Estate,RMAX24,(410) 287-8080,Karen Jimenez,3225128,"EXP Realty, LLC",EXXP1,(888) 860-7369,Other,StandardSale,StandardSale,StandardSale,5565,2024,0.41,R,FeeSimple,No,No,No,,,,1975,50,3180,MajorRehabNeeded,5,3,,Two,Bilevel,"Lower1,Main",,Yes,2,Yes,,,,No,No,No,StandardSale,BRIGHT,1680,1500,MajorRehabNeeded,,
MDHR2038442,RES,Closed,42,42,12/18/24,2/5/25 0:00,3/18/25,3/18/25,"$324,990 ","$324,990 ","$330,000 ",162,,Banister,,Aberdeen,MD,21001,HARFORDMD,NORTH DEEN,Andrew Undem,3043171,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE041,(410) 814-2400,Chelsie Clark,3321624,CENTURY 21 New Millennium,CENT2033,(301) 519-8100,FHA,StandardSale,StandardSale,StandardSale,1619,2024,0.14,R,FeeSimple,No,No,No,,,,1951,74,1050,,3,2,,One,Rancher,Main,,No,,No,,,,Yes,No,No,StandardSale,BRIGHT,1050,,,,
MDHR2038402,RES,Closed,7,7,12/17/24,12/31/24 0:00,1/22/25,1/22/25,"$249,990 ","$249,990 ","$245,000 ",187,,Darlington,,Aberdeen,MD,21001,HARFORDMD,LYNDHURST,Andrew Undem,3043171,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE041,(410) 814-2400,Wendy Hutton,3255106,Samson Properties,SAMP32,(443) 343-7660,Conventional,StandardSale,StandardSale,StandardSale,1746,2024,0.14,R,FeeSimple,No,No,No,,,,1953,72,702,,2,1,,One,Colonial,Main,,No,,No,,,,Yes,No,No,StandardSale,BRIGHT,702,0,,,
MDHR2038474,RES,Closed,6,6,12/18/24,1/14/25 0:00,2/14/25,2/14/25,"$525,000 ","$525,000 ","$535,000 ",930,S,Stepney,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Nancy J Collins,3064460,"Long & Foster Real Estate, Inc.",LNG61,(410) 879-8080,Linda L Welsh,25296,Integrity Real Estate,RMAX24,(410) 287-8080,VA,StandardSale,StandardSale,StandardSale,3189,2024,19.04,A,FeeSimple,No,No,No,,,,2003,22,1728,,2,1,1,Three,CabinLodge,"Main,Upper1",,Yes,2,No,"MainFlrLndry,WasherInUnit",,,Yes,No,No,StandardSale,BRIGHT,1728,0,,,
MDHR2038440,RES,Closed,5,5,12/18/24,12/22/24 0:00,1/11/25,1/10/25,"$239,900 ","$239,900 ","$247,000 ",112,,Brannan,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,Teal Clise,3044468,"EXP Realty, LLC",EXXP1,(888) 860-7369,Christopher Patrick Reilley,3271417,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,FHA,StandardSale,StandardSale,StandardSale,2509,2024,0.19,R,FeeSimple,No,No,No,,,,1950,75,954,Good,3,1,0,One,Rancher,Main,,No,1,No,HasLaundry,,,Yes,No,No,StandardSale,BRIGHT,954,0,Good,,
MDHR2038368,RES,Closed,33,33,12/15/24,1/15/25 0:00,2/12/25,2/12/25,"$225,000 ","$225,000 ","$185,000 ",536,,Bonnie,,Aberdeen,MD,21001,HARFORDMD,BONNIE BRAE MANOR,Ashley Monico,3307670,"Long & Foster Real Estate, Inc.",LNG61,(410) 879-8080,Robert Elliott,3219539,CENTURY 21 New Millennium,CREC4,(410) 272-4800,Cash,StandardSale,StandardSale,StandardSale,2107,2024,0.13,,FeeSimple,No,No,No,,,,2009,16,1240,,4,2,,One,RaisedRanch,Main,,No,,,,,,Yes,No,No,StandardSale,BRIGHT,1240,,,,
MDHR2038354,RES,Closed,5,5,12/14/24,1/27/25 0:00,2/28/25,2/28/25,"$289,000 ","$289,000 ","$285,000 ",339,,Edmund,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Nancy J Collins,3064460,"Long & Foster Real Estate, Inc.",LNG61,(410) 879-8080,Curtis M. Washington,3219420,ExecuHome Realty,EXER7,(443) 384-4000,Conventional,StandardSale,StandardSale,StandardSale,3037,2024,0.23,R,FeeSimple,No,No,No,,,,2012,13,1022,VeryGood,2,2,,One,Rancher,Main,,Yes,1,No,"DryerInUnit,MainFlrLndry,WasherInUnit",,,Yes,No,No,StandardSale,BRIGHT,1022,0,VeryGood,,
MDHR2038338,RES,Closed,48,48,12/13/24,1/29/25 0:00,3/17/25,3/14/25,"$359,990 ","$359,990 ","$359,990 ",4784,,Sanibel,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Melinda J Wimer,32304,Harlan C. Williams Co.,HCW2,(410) 287-0037,Conventional,StandardSale,StandardSale,StandardSale,0,2025,0.06,,FeeSimple,Yes,No,Yes,Monthly,180,Monthly,2025,0,1730,Excellent,3,2,1,Three,"Traditional,Villa","Main,Upper1",,Yes,1,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,,Excellent,,
MDHR2038256,RES,Closed,10,10,12/9/24,12/18/24 0:00,12/31/24,12/30/24,"$99,900 ","$99,900 ","$85,000 ",415,,Lorraine,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Linda L Welsh,25296,Integrity Real Estate,RMAX24,(410) 287-8080,Melissa Menning,3353920,"Alberti Realty, LLC",ALBE,(443) 981-8000,Cash,StandardSale,StandardSale,StandardSale,1966,2024,0.14,R,FeeSimple,No,No,No,,,,1940,85,942,,2,1,,One,Rancher,Main,,No,,No,,,,No,No,No,StandardSale,BRIGHT,942,0,,,
MDHR2038246,RES,Closed,36,36,12/9/24,1/16/25 0:00,3/2/25,2/28/25,"$290,000 ","$290,000 ","$300,000 ",659,,Elm,,Aberdeen,MD,21001,HARFORDMD,CHESAPEAKE ACRES,Kirk Steffes,3007458,Cummings & Co Realtors,CCRL8,(410) 823-0033,Mitchell J Toland Jr.,3064873,Redfin Corp,REFC4,(410) 202-8454,"Conventional,FHA",StandardSale,StandardSale,StandardSale,2791,2024,0.24,R,FeeSimple,No,No,No,,,,1962,63,1568,Excellent,3,1,,Three,SplitLevel,Upper1,1,Yes,1,No,BsmtLaundry,,,Yes,No,No,StandardSale,BRIGHT,1268,300,Excellent,,
MDHR2038212,RES,Closed,6,6,12/1/24,12/13/24 0:00,1/14/25,1/10/25,"$549,900 ","$549,900 ","$535,000 ",428,,Grasmere,,Aberdeen,MD,21001,HARFORDMD,WINDEMERE ESTATES,Trent C Gladstone,74197,The KW Collective,KWR55,(443) 574-1600,Unrepresented I Buyer,5511,Unrepresented Buyer Office,UNREP1,(844) 552-7444,Conventional,StandardSale,StandardSale,StandardSale,5365,2024,0.34,R,FeeSimple,No,No,No,,,,1994,31,2174,,4,2,1,Three,Victorian,"Lower1,Main,Upper1",,Yes,2,Yes,"BsmtLaundry,DryerInUnit,HasLaundry,WasherInUnit",,,Yes,No,No,StandardSale,BRIGHT,2174,0,,,
